window_id,ticker,strategy,family,config_id,params_json,data_status,window_start,window_end,ml_model,ml_fallback,ml_prediction_coverage,ml_oos_label_positive_rate,ml_oos_predicted_positive_rate,total_return,sharpe,max_drawdown,win_rate,avg_profit,trades,profit_factor,gross_profit,gross_loss
evaluation_middle_third,AAPL,Mini TradingAgents,adaptive_risk,risk_sl2_tp3,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":2.0,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-06-29 13:50:00-04:00,2026-07-09 11:35:00-04:00,n/a,False,1.0,,,0.007263996683213092,6.931820920565692,-0.0014349506245674437,0.6363636363636364,66.03633348375496,11,4.8335501044223586,915.884518795369,189.48485047406442
evaluation_late_third,AAPL,Mini TradingAgents,adaptive_risk,risk_sl2_tp3,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":2.0,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-07-09 11:40:00-04:00,2026-07-17 15:55:00-04:00,n/a,False,1.0,,,-0.0003758866429115493,-0.309565604526448,-0.00456965090518624,0.25,-3.1323886909284067,12,0.9291761298467833,493.1457365517322,530.7344008428731
evaluation_full,AAPL,Mini TradingAgents,adaptive_risk,risk_sl2_tp4,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":2.0,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-06-17 15:55:00-04:00,2026-07-17 15:55:00-04:00,n/a,False,1.0,,,0.008545393342898944,4.768291741641827,-0.00456965090518624,0.42857142857142855,30.519261938926604,28,2.0002297198859686,1708.8824089861923,854.3430746962474
evaluation_early_third,AAPL,Mini TradingAgents,adaptive_risk,risk_sl2_tp4,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":2.0,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-06-17 15:55:00-04:00,2026-06-29 13:45:00-04:00,n/a,False,1.0,,,0.0016486620776865468,1.9791902187565573,-0.0012493762697761701,0.4,32.9732415537316,5,2.277291825982165,293.94102404401093,129.07481627535293
evaluation_middle_third,AAPL,Mini TradingAgents,adaptive_risk,risk_sl2_tp4,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":2.0,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-06-29 13:50:00-04:00,2026-07-09 11:35:00-04:00,n/a,False,1.0,,,0.007263996683213092,6.931820920565692,-0.0014349506245674437,0.6363636363636364,66.03633348375496,11,4.8335501044223586,915.884518795369,189.48485047406442
evaluation_late_third,AAPL,Mini TradingAgents,adaptive_risk,risk_sl2_tp4,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":2.0,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-07-09 11:40:00-04:00,2026-07-17 15:55:00-04:00,n/a,False,1.0,,,-0.0003758866429115493,-0.309565604526448,-0.00456965090518624,0.25,-3.1323886909284067,12,0.9291761298467833,493.1457365517322,530.7344008428731
evaluation_full,AAPL,Multi-factor model,adaptive_risk,risk_sl1_tp2,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.0,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-06-17 15:55:00-04:00,2026-07-17 15:55:00-04:00,n/a,False,1.0,,,0.010480546724960682,3.7507387672207684,-0.006661293363018461,0.45098039215686275,20.55009161756972,51,1.575936628000821,2867.794243729858,1819.7395712338023
evaluation_early_third,AAPL,Multi-factor model,adaptive_risk,risk_sl1_tp2,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.0,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-06-17 15:55:00-04:00,2026-06-29 13:45:00-04:00,n/a,False,1.0,,,9.197987488707149e-05,0.056672950706051654,-0.006661293363018461,0.36363636363636365,0.836180680790373,11,1.012062527245467,771.7237253808572,762.5257378921631
evaluation_middle_third,AAPL,Multi-factor model,adaptive_risk,risk_sl1_tp2,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.0,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-06-29 13:50:00-04:00,2026-07-09 11:35:00-04:00,n/a,False,1.0,,,0.011816434597808234,8.166809333850727,-0.0027443898819827783,0.6,59.08217298904289,20,4.316613810877601,1537.92354759373,356.2800878128725
evaluation_late_third,AAPL,Multi-factor model,adaptive_risk,risk_sl1_tp2,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":null,""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.0,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",live,2026-07-09 11:40:00-04:00,2026-07-17 15:55:00-04:00,n/a,False,1.0,,,-0.0019691095606848563,-1.6922555017664336,-0.005604984868319285,0.2857142857142857,-9.37671219373746,21,0.7273283634504986,525.2432018053521,722.1541578738387
