strategy,family,config_id,params_json,AAPL_total_return,AAPL_sharpe,AAPL_max_drawdown,AAPL_win_rate,AAPL_profit_factor,AAPL_trades,AAPL_ml_prediction_coverage,AAPL_sharpe_delta,AAPL_pf_improved,AAPL_sharpe_improved,TSLA_total_return,TSLA_sharpe,TSLA_max_drawdown,TSLA_win_rate,TSLA_profit_factor,TSLA_trades,TSLA_ml_prediction_coverage,TSLA_sharpe_delta,TSLA_pf_improved,TSLA_sharpe_improved,NVDA_total_return,NVDA_sharpe,NVDA_max_drawdown,NVDA_win_rate,NVDA_profit_factor,NVDA_trades,NVDA_ml_prediction_coverage,NVDA_sharpe_delta,NVDA_pf_improved,NVDA_sharpe_improved,CBA_AX_total_return,CBA_AX_sharpe,CBA_AX_max_drawdown,CBA_AX_win_rate,CBA_AX_profit_factor,CBA_AX_trades,CBA_AX_ml_prediction_coverage,CBA_AX_sharpe_delta,CBA_AX_pf_improved,CBA_AX_sharpe_improved,mean_sharpe,median_sharpe,pooled_profit_factor,sharpe_improved_n,pf_improved_n,both_improved_n,zero_trade_n,window_id
ML Classifier,adaptive_risk,risk_sl1.5_tp3,"{""buy_threshold"":0.55,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":""Random Forest"",""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":0.45,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",-0.0040973815402365,-1.4993619243547114,-0.0106069367073347,0.217391304347826,0.7233050169497083,23,1.0,0.0,False,False,0.0032813699164828,0.9801143609807316,-0.0137768536133062,0.5357142857142857,1.1758550389368028,28,1.0,0.0,False,False,-0.0050477961595051,-1.527633544806504,-0.0154763110481344,0.5454545454545454,0.6855004858068038,22,1.0,0.0,False,False,0.0010168455420944,1.1110934492451174,-0.0018470885103207,0.6666666666666666,1.5606291544579414,12,1.0,0.0,False,False,-0.23394691473384155,-0.2596237816869899,0.9055758779024575,0,0,0,0,evaluation_early_third
ML Classifier,adaptive_risk,risk_sl1.5_tp4,"{""buy_threshold"":0.55,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":""Random Forest"",""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":0.45,""stop_loss_mult"":1.5,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",-0.0040973815402365,-1.4993619243547114,-0.0106069367073347,0.217391304347826,0.7233050169497083,23,1.0,0.0,False,False,0.0036293789432204,1.0808086162452644,-0.0137768536133062,0.5555555555555556,1.195505339989419,27,1.0,0.1006942552645328,True,True,-0.0050477961595051,-1.527633544806504,-0.0154763110481344,0.5454545454545454,0.6855004858068038,22,1.0,0.0,False,False,0.0010168455420944,1.1110934492451174,-0.0018470885103207,0.6666666666666666,1.5606291544579414,12,1.0,0.0,False,False,-0.20877335091770838,-0.2092766540547235,0.912192241097772,1,1,1,0,evaluation_early_third
ML Classifier,adaptive_risk,risk_sl1_tp2,"{""buy_threshold"":0.55,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":""Random Forest"",""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":0.45,""stop_loss_mult"":1.0,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",-0.0040389983241597,-1.4712798228789794,-0.0106886537938719,0.2916666666666667,0.8022262022474307,24,1.0,0.02808210147573198,True,True,0.004625826525495,1.3693977441759233,-0.0138323279453053,0.5714285714285714,1.2651735038153813,28,1.0,0.38928338319519173,True,True,-0.0052085094659386,-1.588051839403458,-0.0143707217908073,0.5454545454545454,0.677903263778634,22,1.0,-0.060418294596954025,False,False,0.0010168455420944,1.1110934492451174,-0.0018470885103207,0.6666666666666666,1.5606291544579414,12,1.0,0.0,False,False,-0.14471011721534915,-0.18009318681693098,0.9354564729100949,2,2,2,0,evaluation_early_third
ML Classifier,adaptive_risk,risk_sl1_tp3,"{""buy_threshold"":0.55,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":""Random Forest"",""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":0.45,""stop_loss_mult"":1.0,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",-0.0038119696691334,-1.3824451172632226,-0.0106886537938719,0.2916666666666667,0.8073518033317116,24,1.0,0.11691680709148877,True,True,0.0046657149088138,1.3809516609921952,-0.0138323279453053,0.5357142857142857,1.2660029929302812,28,1.0,0.40083730001146367,True,True,-0.0052085094659386,-1.588051839403458,-0.0143707217908073,0.5454545454545454,0.677903263778634,22,1.0,-0.060418294596954025,False,False,0.0010168455420944,1.1110934492451174,-0.0018470885103207,0.6666666666666666,1.5606291544579414,12,1.0,0.0,False,False,-0.11961296160734197,-0.1356758340090526,0.9396525593521662,2,2,2,0,evaluation_early_third
ML Classifier,adaptive_risk,risk_sl1_tp4,"{""buy_threshold"":0.55,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":""Random Forest"",""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":0.45,""stop_loss_mult"":1.0,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",-0.0038119696691334,-1.3824451172632226,-0.0106886537938719,0.2916666666666667,0.8073518033317116,24,1.0,0.11691680709148877,True,True,0.0050142041244274,1.4810834017229897,-0.0138323279453053,0.5555555555555556,1.2874370816094698,27,1.0,0.5009690407422581,True,True,-0.0052085094659386,-1.588051839403458,-0.0143707217908073,0.5454545454545454,0.677903263778634,22,1.0,-0.060418294596954025,False,False,0.0010168455420944,1.1110934492451174,-0.0018470885103207,0.6666666666666666,1.5606291544579414,12,1.0,0.0,False,False,-0.09458002642464336,-0.1356758340090526,0.9458594888186217,2,2,2,0,evaluation_early_third
ML Classifier,adaptive_risk,risk_sl2_tp2,"{""buy_threshold"":0.55,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":""Random Forest"",""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":0.45,""stop_loss_mult"":2.0,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",-0.0040178068686835,-1.4710462679732508,-0.0105278821626543,0.2272727272727272,0.7272250423945211,22,1.0,0.028315656381460608,True,True,0.003241536496007,0.9685196142777434,-0.0137768536133062,0.5714285714285714,1.174613261567447,28,1.0,-0.011594746702988212,False,False,-0.0049379106458691,-1.493786128877864,-0.0153831178179244,0.5238095238095238,0.6983324483229765,21,1.0,0.033847415928639935,True,True,0.0010168455420944,1.1110934492451174,-0.0018470885103207,0.6666666666666666,1.5606291544579414,12,1.0,0.0,False,False,-0.22130483333206352,-0.2512633268477537,0.9087469858134616,2,2,2,0,evaluation_early_third
ML Classifier,adaptive_risk,risk_sl2_tp3,"{""buy_threshold"":0.55,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":""Random Forest"",""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":0.45,""stop_loss_mult"":2.0,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",-0.0040178068686835,-1.4710462679732508,-0.0105278821626543,0.2272727272727272,0.7272250423945211,22,1.0,0.028315656381460608,True,True,0.0032813699164828,0.9801143609807316,-0.0137768536133062,0.5357142857142857,1.1758550389368028,28,1.0,0.0,False,False,-0.0049379106458691,-1.493786128877864,-0.0153831178179244,0.5238095238095238,0.6983324483229765,21,1.0,0.033847415928639935,True,True,0.0010168455420944,1.1110934492451174,-0.0018470885103207,0.6666666666666666,1.5606291544579414,12,1.0,0.0,False,False,-0.2184061466563164,-0.2454659534962596,0.9096882295357125,2,2,2,0,evaluation_early_third
ML Classifier,adaptive_risk,risk_sl2_tp4,"{""buy_threshold"":0.55,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":""Random Forest"",""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":0.45,""stop_loss_mult"":2.0,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",-0.0040178068686835,-1.4710462679732508,-0.0105278821626543,0.2272727272727272,0.7272250423945211,22,1.0,0.028315656381460608,True,True,0.0036293789432204,1.0808086162452644,-0.0137768536133062,0.5555555555555556,1.195505339989419,27,1.0,0.1006942552645328,True,True,-0.0049379106458691,-1.493786128877864,-0.0153831178179244,0.5238095238095238,0.6983324483229765,21,1.0,0.033847415928639935,True,True,0.0010168455420944,1.1110934492451174,-0.0018470885103207,0.6666666666666666,1.5606291544579414,12,1.0,0.0,False,False,-0.19323258284018324,-0.1951188258639932,0.9162814258199617,3,3,3,0,evaluation_early_third
ML Classifier,ml_threshold,ml_logistic_regression_b0.52_s0.40,"{""buy_threshold"":0.52,""model"":""Logistic Regression"",""sell_threshold"":0.4,""stop_loss_mult"":1.5,""take_profit_mult"":3.0}",-0.0096080367465281,-2.7477683752035347,-0.0177040319799444,0.5,0.5164608445738351,22,1.0,-1.3277107246017115,False,False,0.004755193096612,1.201901502696839,-0.0200844435627867,0.5454545454545454,1.199468353887294,22,1.0,1.2989517654998988,True,True,-0.0126969017743132,-3.42068311898314,-0.0216431578933621,0.4444444444444444,0.4779381273155654,18,1.0,-2.2629727157949406,False,False,0.0037451215638155,3.2984651608902973,-0.0016173202666923,0.6363636363636364,3.287466038030266,11,1.0,1.640073673471559,True,True,-0.4170212076498846,-0.7729334362533479,0.8018498488439666,2,2,2,0,evaluation_early_third
ML Classifier,ml_threshold,ml_logistic_regression_b0.55_s0.45,"{""buy_threshold"":0.55,""model"":""Logistic Regression"",""sell_threshold"":0.45,""stop_loss_mult"":1.5,""take_profit_mult"":3.0}",-0.0043382324232394,-1.4200576506018232,-0.0115620581507782,0.55,0.684506090817668,20,1.0,0.0,False,False,-0.0004799035437914,-0.0970502628030599,-0.0224179794742999,0.4583333333333333,0.9826993383104998,24,1.0,0.0,False,False,-0.0034980827097877,-1.1577104031881995,-0.0122572247526216,0.4375,0.7304176322586052,16,1.0,0.0,False,False,0.0014408009280311,1.6583914874187382,-0.0016173202666922,0.8333333333333334,2.6863677002493875,6,1.0,0.0,False,False,-0.2541067072935861,-0.6273803329956297,0.875715398246536,0,0,0,0,evaluation_early_third
