strategy,family,config_id,params_json,AAPL_total_return,AAPL_sharpe,AAPL_max_drawdown,AAPL_win_rate,AAPL_profit_factor,AAPL_trades,AAPL_ml_prediction_coverage,AAPL_sharpe_delta,AAPL_pf_improved,AAPL_sharpe_improved,TSLA_total_return,TSLA_sharpe,TSLA_max_drawdown,TSLA_win_rate,TSLA_profit_factor,TSLA_trades,TSLA_ml_prediction_coverage,TSLA_sharpe_delta,TSLA_pf_improved,TSLA_sharpe_improved,NVDA_total_return,NVDA_sharpe,NVDA_max_drawdown,NVDA_win_rate,NVDA_profit_factor,NVDA_trades,NVDA_ml_prediction_coverage,NVDA_sharpe_delta,NVDA_pf_improved,NVDA_sharpe_improved,CBA_AX_total_return,CBA_AX_sharpe,CBA_AX_max_drawdown,CBA_AX_win_rate,CBA_AX_profit_factor,CBA_AX_trades,CBA_AX_ml_prediction_coverage,CBA_AX_sharpe_delta,CBA_AX_pf_improved,CBA_AX_sharpe_improved,mean_sharpe,median_sharpe,pooled_profit_factor,sharpe_improved_n,pf_improved_n,both_improved_n,zero_trade_n
ML Classifier,adaptive_risk,risk_sl1.5_tp3,"{""buy_threshold"":0.55,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":""Random Forest"",""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":0.45,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",0.0053013300089466,1.6242828570207983,-0.0106069367073347,0.4333333333333333,1.2266058346685114,60,1.0,0.0,False,False,-0.0179190865499854,-3.9547137709494247,-0.0254532568734964,0.3908045977011494,0.6807878956203918,87,1.0,0.0,False,False,0.0011246975742751,0.3156084445404385,-0.0154763110481344,0.5689655172413793,1.0379071941866267,58,1.0,0.0,False,False,-0.0007856738241104,-0.5247806999646365,-0.0072589879768074,0.5862068965517241,0.9087367581323308,29,1.0,0.0,False,False,-0.6349007923382062,-0.10458612771209899,0.8957737959267756,0,0,0,0
ML Classifier,adaptive_risk,risk_sl1.5_tp4,"{""buy_threshold"":0.55,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":""Random Forest"",""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":0.45,""stop_loss_mult"":1.5,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",0.0062190789793099,1.8955231226095808,-0.0106069367073347,0.4333333333333333,1.265752159030339,60,1.0,0.27124026558878245,True,True,-0.0175784313428665,-3.876323738708305,-0.0251152150501801,0.3953488372093023,0.6863958793295865,86,1.0,0.07839003224111973,True,True,0.0011246975742751,0.3156084445404385,-0.0154763110481344,0.5689655172413793,1.0379071941866267,58,1.0,0.0,False,False,-0.0007856738241104,-0.5247806999646365,-0.0072589879768074,0.5862068965517241,0.9087367581323308,29,1.0,0.0,False,False,-0.5474932178807306,-0.10458612771209899,0.9063958836435999,2,2,2,0
ML Classifier,adaptive_risk,risk_sl1_tp2,"{""buy_threshold"":0.55,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":""Random Forest"",""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":0.45,""stop_loss_mult"":1.0,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",0.0063271825555957,1.9241060969521568,-0.0106886537938719,0.4677419354838709,1.218053062604413,62,1.0,0.2998232399313585,False,True,-0.0170752746546233,-3.7588125671521535,-0.024615918398454,0.4022988505747126,0.6864433916687629,87,1.0,0.19590120379727116,True,True,0.0011209061218113,0.3160196770060796,-0.0143707217908073,0.5517241379310345,1.0385808741972469,58,1.0,0.00041123246564106486,True,True,-0.0007856738241104,-0.5247806999646365,-0.0072589879768074,0.5862068965517241,0.9087367581323308,29,1.0,0.0,False,False,-0.5108668732896384,-0.10438051147927846,0.9140397477739619,3,2,2,0
ML Classifier,adaptive_risk,risk_sl1_tp3,"{""buy_threshold"":0.55,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":""Random Forest"",""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":0.45,""stop_loss_mult"":1.0,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",0.005589435420362,1.7024291637870623,-0.0106886537938719,0.4590163934426229,1.1969784738351432,61,1.0,0.078146306766264,False,True,-0.0166058713252974,-3.652914294077109,-0.0241501161620576,0.3908045977011494,0.6956717436736872,87,1.0,0.3017994768723158,True,True,0.0011209061218113,0.3160196770060796,-0.0143707217908073,0.5517241379310345,1.0385808741972469,58,1.0,0.00041123246564106486,True,True,-0.0007856738241104,-0.5247806999646365,-0.0072589879768074,0.5862068965517241,0.9087367581323308,29,1.0,0.0,False,False,-0.5398115383121509,-0.10438051147927846,0.9114356079593741,3,2,2,0
ML Classifier,adaptive_risk,risk_sl1_tp4,"{""buy_threshold"":0.55,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":""Random Forest"",""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":0.45,""stop_loss_mult"":1.0,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",0.0065074474048438,1.9720412014521915,-0.0106886537938719,0.4590163934426229,1.2292713186286426,61,1.0,0.3477583444313932,True,True,-0.0162647606021439,-3.574845179671845,-0.0238116223172613,0.3953488372093023,0.7014705982878509,86,1.0,0.3798685912775799,True,True,0.0011209061218113,0.3160196770060796,-0.0143707217908073,0.5517241379310345,1.0385808741972469,58,1.0,0.00041123246564106486,True,True,-0.0007856738241104,-0.5247806999646365,-0.0072589879768074,0.5862068965517241,0.9087367581323308,29,1.0,0.0,False,False,-0.4528912502945525,-0.10438051147927846,0.9218268849963789,3,3,3,0
ML Classifier,adaptive_risk,risk_sl2_tp2,"{""buy_threshold"":0.55,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":""Random Forest"",""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":0.45,""stop_loss_mult"":2.0,""take_profit_mult"":2.0,""technical_weight"":0.35,""volatility_weight"":0.35}",0.0063485945763954,1.9369793930252448,-0.0105278821626543,0.45,1.2721919242593462,60,1.0,0.31269653600444647,True,True,-0.0181698070074736,-4.018475220087277,-0.0257020538941229,0.4117647058823529,0.6758884159367039,85,1.0,-0.0637614491378522,False,False,0.0009734716231166,0.2763614037290943,-0.0153831178179244,0.5614035087719298,1.0318651234424288,57,1.0,-0.039247040811344225,False,False,-0.0007856738241104,-0.5247806999646365,-0.0072589879768074,0.5862068965517241,0.9087367581323308,29,1.0,0.0,False,False,-0.5824787808243936,-0.1242096481177711,0.9018632816277923,1,1,1,0
ML Classifier,adaptive_risk,risk_sl2_tp3,"{""buy_threshold"":0.55,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":""Random Forest"",""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":0.45,""stop_loss_mult"":2.0,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",0.0053816556569212,1.649391513961558,-0.0105278821626543,0.4406779661016949,1.2308111624205529,59,1.0,0.0251086569407597,True,True,-0.0177009263805665,-3.912117401581781,-0.0252367703501608,0.4,0.6848631747570658,85,1.0,0.04259636936764366,True,True,0.0009734716231166,0.2763614037290943,-0.0153831178179244,0.5614035087719298,1.0318651234424288,57,1.0,-0.039247040811344225,False,False,-0.0007856738241104,-0.5247806999646365,-0.0072589879768074,0.5862068965517241,0.9087367581323308,29,1.0,0.0,False,False,-0.6277862959639413,-0.1242096481177711,0.8977488842363655,2,2,2,0
ML Classifier,adaptive_risk,risk_sl2_tp4,"{""buy_threshold"":0.55,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""model"":""Random Forest"",""momentum_weight"":0.4,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":0.45,""stop_loss_mult"":2.0,""take_profit_mult"":4.0,""technical_weight"":0.35,""volatility_weight"":0.35}",0.006299477957318,1.920697657855193,-0.0105278821626543,0.4406779661016949,1.270090605577931,59,1.0,0.29641480083439475,True,True,-0.0173601955000515,-3.8336218573026217,-0.0248986534339874,0.4047619047619047,0.6904751957455819,84,1.0,0.12109191364680294,True,True,0.0009734716231166,0.2763614037290943,-0.0153831178179244,0.5614035087719298,1.0318651234424288,57,1.0,-0.039247040811344225,False,False,-0.0007856738241104,-0.5247806999646365,-0.0072589879768074,0.5862068965517241,0.9087367581323308,29,1.0,0.0,False,False,-0.5403358739207427,-0.1242096481177711,0.9082986479624706,2,2,2,0
ML Classifier,ml_threshold,ml_logistic_regression_b0.52_s0.40,"{""buy_threshold"":0.52,""model"":""Logistic Regression"",""sell_threshold"":0.4,""stop_loss_mult"":1.5,""take_profit_mult"":3.0}",0.0142653443116729,3.1364334749266884,-0.0177040319799444,0.5714285714285714,1.4174736343637144,56,1.0,1.3377679987912718,True,True,-0.0140168622811371,-2.3469976391633987,-0.0223205661267107,0.4545454545454545,0.800545367114817,55,1.0,0.6686302415369871,True,True,-0.01654989443762,-2.9548122909361587,-0.026463466152221,0.46,0.69203675448841,50,1.0,-1.4780275209528635,False,False,-0.0003310858939989,-0.164633440644777,-0.0085103768218768,0.4705882352941176,0.9790110513077896,34,1.0,-1.573023374067363,False,False,-0.5825024739544115,-1.2558155399040878,0.9043893467230757,2,2,2,0
ML Classifier,ml_threshold,ml_logistic_regression_b0.55_s0.45,"{""buy_threshold"":0.55,""model"":""Logistic Regression"",""sell_threshold"":0.45,""stop_loss_mult"":1.5,""take_profit_mult"":3.0}",0.0069090006593008,1.7986654761354166,-0.0115620581507782,0.6078431372549019,1.2607212642068637,51,1.0,0.0,False,False,-0.0158960489187521,-3.015627880700386,-0.0224179794742999,0.4339622641509434,0.7486301585339133,53,1.0,0.0,False,False,-0.0058886776953546,-1.4767847699832952,-0.0153048435400947,0.5111111111111111,0.8207470013910384,45,1.0,0.0,False,False,0.0021408311455786,1.408389933422586,-0.004886908423014,0.5833333333333334,1.2227105749503422,24,1.0,0.0,False,False,-0.3213393102814196,-0.03419741828035461,0.9036702700071929,0,0,0,0
