ticker,evaluation_bars,legacy_coverage_full_data,legacy_prediction_bars_full_data,legacy_trades,legacy_total_return,legacy_sharpe,legacy_profit_factor,legacy_max_drawdown,walk_forward_coverage_full_data,walk_forward_prediction_bars_full_data,walk_forward_trades,walk_forward_total_return,walk_forward_sharpe,walk_forward_profit_factor,walk_forward_max_drawdown,walk_forward_minus_legacy_sharpe,walk_forward_minus_legacy_total_return,walk_forward_minus_legacy_profit_factor
AAPL,1560,0.30004295532646047,1397,43,0.006695539179927046,1.7436711665623899,1.2786577960781345,-0.01823350685231928,0.9568298969072165,4455,60,0.005301330008946614,1.6242828570208,1.226605834668499,-0.010606936707334702,-0.11938830954158974,-0.0013942091709804316,-0.05205196140963553
TSLA,1561,0.30004295532646047,1397,64,-0.0071437315550155756,-1.7183989439984302,0.8513138520918748,-0.01787124230380488,0.9568298969072165,4455,87,-0.017919086549985197,-3.954713770949363,0.6807878956203913,-0.02545325687349642,-2.2363148269509328,-0.010775354994969621,-0.1705259564714835
NVDA,1561,0.3000430477830392,1394,47,0.0009628146965401374,0.2794661722619755,1.0317881716069137,-0.01659359140349448,0.9567369780456306,4445,58,0.0011246975742751353,0.3156084445403817,1.0379071941866311,-0.015476311048134295,0.03614227227840622,0.00016188287773499788,0.006119022579717415
CBA.AX,1588,0.29997672794973235,1289,9,0.0016462386163802467,2.6690652340474053,1.9459062567395318,-0.0013944278563129409,0.9532231789620665,4096,29,-0.0007856738241104333,-0.5247806999646365,0.9087367581323309,-0.007258987976807463,-3.1938459340120415,-0.00243191244049068,-1.0371694986072009
