window_id,ticker,strategy,family,config_id,profile,threshold_name,params_json,data_status,window_start,window_end,news_score,news_weight_fixed,total_return,sharpe,max_drawdown,win_rate,avg_profit,trades,profit_factor,gross_profit,gross_loss
evaluation_full,AAPL,Mini TradingAgents,mta_team_weights_manager_threshold,mta_baseline_b0.20_s-0.15,baseline,default,"{""buy_threshold"":0.2,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.15,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",frozen_verified,2026-06-17 15:55:00-04:00,2026-07-17 15:55:00-04:00,0.0,0.15,-0.0010800550298788458,-0.3498129320344545,-0.007768465254063495,0.3387096774193548,-1.7420242417400198,62,0.9561913557999929,2357.387000253826,2465.392503241707
evaluation_early_third,AAPL,Mini TradingAgents,mta_team_weights_manager_threshold,mta_baseline_b0.20_s-0.15,baseline,default,"{""buy_threshold"":0.2,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.15,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",frozen_verified,2026-06-17 15:55:00-04:00,2026-06-29 13:45:00-04:00,0.0,0.15,-0.0065275626821501564,-2.9839803983218984,-0.007768465254063495,0.35294117647058826,-38.397427542059596,17,0.42994702796815965,492.32375108283094,1145.080019297844
evaluation_middle_third,AAPL,Mini TradingAgents,mta_team_weights_manager_threshold,mta_baseline_b0.20_s-0.15,baseline,default,"{""buy_threshold"":0.2,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.15,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",frozen_verified,2026-06-29 13:50:00-04:00,2026-07-09 11:35:00-04:00,0.0,0.15,0.008193900654157149,5.942537178054816,-0.002225742230062777,0.5,34.14125272565527,24,2.662167407904208,1312.3548904503348,492.9648250346084
evaluation_late_third,AAPL,Mini TradingAgents,mta_team_weights_manager_threshold,mta_baseline_b0.20_s-0.15,baseline,default,"{""buy_threshold"":0.2,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.15,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",frozen_verified,2026-07-09 11:40:00-04:00,2026-07-17 15:55:00-04:00,0.0,0.15,-0.0029252234393987164,-2.0989804742853027,-0.005420605748159724,0.13636363636363635,-13.296470179085668,22,0.649634013778468,542.3827422945034,834.9050862343879
evaluation_full,AAPL,Mini TradingAgents,mta_team_weights_manager_threshold,mta_baseline_b0.35_s-0.35,baseline,round1_mislabelled,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",frozen_verified,2026-06-17 15:55:00-04:00,2026-07-17 15:55:00-04:00,0.0,0.15,0.008545393342898944,4.768291741641664,-0.00456965090518624,0.42857142857142855,30.519261938926768,28,2.0002297198859793,1708.8824089861923,854.3430746962429
evaluation_early_third,AAPL,Mini TradingAgents,mta_team_weights_manager_threshold,mta_baseline_b0.35_s-0.35,baseline,round1_mislabelled,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",frozen_verified,2026-06-17 15:55:00-04:00,2026-06-29 13:45:00-04:00,0.0,0.15,0.0016486620776865468,1.9791902187565573,-0.0012493762697761701,0.4,32.97324155373249,5,2.277291825982243,293.94102404401093,129.0748162753485
evaluation_middle_third,AAPL,Mini TradingAgents,mta_team_weights_manager_threshold,mta_baseline_b0.35_s-0.35,baseline,round1_mislabelled,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",frozen_verified,2026-06-29 13:50:00-04:00,2026-07-09 11:35:00-04:00,0.0,0.15,0.007263996683213092,6.931820920565694,-0.0014349506245674437,0.6363636363636364,66.03633348375496,11,4.8335501044223586,915.884518795369,189.48485047406442
evaluation_late_third,AAPL,Mini TradingAgents,mta_team_weights_manager_threshold,mta_baseline_b0.35_s-0.35,baseline,round1_mislabelled,"{""buy_threshold"":0.35,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",frozen_verified,2026-07-09 11:40:00-04:00,2026-07-17 15:55:00-04:00,0.0,0.15,-0.0003758866429115493,-0.3095656045265407,-0.00456965090518624,0.25,-3.1323886909284067,12,0.9291761298467833,493.1457365517322,530.7344008428731
evaluation_full,AAPL,Mini TradingAgents,mta_team_weights_manager_threshold,mta_baseline_b0.50_s-0.35,baseline,strict,"{""buy_threshold"":0.5,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",frozen_verified,2026-06-17 15:55:00-04:00,2026-07-17 15:55:00-04:00,0.0,0.15,0.0017585889199391858,1.4185736466436443,-0.0021776347427965304,0.3333333333333333,19.539876888212184,9,1.4478435635428688,568.5381807229885,392.6792887290788
evaluation_early_third,AAPL,Mini TradingAgents,mta_team_weights_manager_threshold,mta_baseline_b0.50_s-0.35,baseline,strict,"{""buy_threshold"":0.5,""factor_weight"":0.35,""flow_weight"":0.25,""mean_reversion_weight"":0.35,""momentum_weight"":0.4,""news_score"":0.0,""news_weight"":0.15,""risk_weight"":0.15,""sell_threshold"":-0.35,""stop_loss_mult"":1.5,""take_profit_mult"":3.0,""technical_weight"":0.35,""volatility_weight"":0.35}",frozen_verified,2026-06-17 15:55:00-04:00,2026-06-29 13:45:00-04:00,0.0,0.15,-0.0005855839151949205,-1.165660236592707,-0.0011968329342932904,0.0,-58.55839151949071,1,0.0,0.0,58.55839151949071
